資産コード,枝番,除却日,事由コード,事由,処分費用,処分費用の税区分ID,処分費用の税区分,処分費用の消費税額（手入力）,処分費用支払先,除売却時の償却費計上区分,参照リンク
SSKM000100001,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100002,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100003,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100004,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100005,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100006,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100007,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100008,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100009,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100010,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100011,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100012,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100013,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100014,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100015,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100016,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100017,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100018,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100019,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100020,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100021,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100022,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100023,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100024,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100025,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100026,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100027,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100028,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100029,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100030,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100031,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100032,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100033,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
SSKM000100034,001,2023/01/10,1001,廃棄のため,400,187,課仕 10%,40,AAA,1,http://apple.com
