資産コード,枝番,資産種類（償却資産税）,資産種類（法人税）,構造,細目
SSKM000100001,001,99,99,structure corporate tax 2,detail corporate tax 2
SSKM000100002,001,6,60,structure corporate tax 3,detail corporate tax 3
SSKM000100003,001,5,50,structure corporate tax 4,detail corporate tax 4
SSKM000100004,001,4,40,structure corporate tax 5,detail corporate tax 5
SSKM000100005,001,3,30,structure corporate tax 6,detail corporate tax 6
SSKM000100006,001,2,20,structure corporate tax 7,detail corporate tax 7
SSKM000100007,001,1,17,structure corporate tax 8,detail corporate tax 8
SSKM000100008,001,99,16,structure corporate tax 9,detail corporate tax 9
SSKM000100009,001,6,15,structure corporate tax 10,detail corporate tax 10
SSKM000100010,001,5,14,structure corporate tax 11,detail corporate tax 11
SSKM000100011,001,4,13,structure corporate tax 12,detail corporate tax 12
SSKM000100012,001,3,12,structure corporate tax 13,detail corporate tax 13
SSKM000100013,001,2,11,structure corporate tax 14,detail corporate tax 14
SSKM000100014,001,1,10,structure corporate tax 15,detail corporate tax 15
SSKM000100015,001,99,99,structure corporate tax 16,detail corporate tax 16
SSKM000100016,001,6,60,structure corporate tax 17,detail corporate tax 17
SSKM000100017,001,5,50,structure corporate tax 18,detail corporate tax 18
SSKM000100018,001,4,40,structure corporate tax 19,detail corporate tax 19
SSKM000100019,001,3,30,structure corporate tax 20,detail corporate tax 20
SSKM000100020,001,2,20,structure corporate tax 21,detail corporate tax 21
SSKM000100021,001,1,17,structure corporate tax 22,detail corporate tax 22
SSKM000100022,001,99,16,structure corporate tax 23,detail corporate tax 23
SSKM000100023,001,6,15,structure corporate tax 24,detail corporate tax 24
SSKM000100024,001,5,14,structure corporate tax 25,detail corporate tax 25
SSKM000100025,001,4,13,structure corporate tax 26,detail corporate tax 26
SSKM000100026,001,3,12,structure corporate tax 27,detail corporate tax 27
SSKM000100027,001,2,11,structure corporate tax 28,detail corporate tax 28
SSKM000100028,001,1,10,structure corporate tax 29,detail corporate tax 29
SSKM000100029,001,99,99,structure corporate tax 30,detail corporate tax 30
SSKM000100030,001,6,60,structure corporate tax 31,detail corporate tax 31
SSKM000100031,001,5,50,structure corporate tax 32,detail corporate tax 32
SSKM000100032,001,4,40,structure corporate tax 33,detail corporate tax 33
SSKM000100033,001,3,30,structure corporate tax 34,detail corporate tax 34
SSKM000100034,001,2,20,structure corporate tax 35,detail corporate tax 35
SSKM000100035,001,1,17,structure corporate tax 36,detail corporate tax 36
SSKM000100036,001,99,16,structure corporate tax 37,detail corporate tax 37
SSKM000100037,001,6,15,structure corporate tax 38,detail corporate tax 38
SSKM000100038,001,5,14,structure corporate tax 39,detail corporate tax 39
SSKM000100039,001,4,13,structure corporate tax 40,detail corporate tax 40
SSKM000100040,001,3,12,structure corporate tax 41,detail corporate tax 41
SSKM000100041,001,2,11,structure corporate tax 42,detail corporate tax 42
SSKM000100042,001,1,10,structure corporate tax 43,detail corporate tax 43
SSKM000100043,001,99,99,structure corporate tax 44,detail corporate tax 44
SSKM000100044,001,6,60,structure corporate tax 45,detail corporate tax 45
SSKM000100045,001,5,50,structure corporate tax 46,detail corporate tax 46
SSKM000100046,001,4,40,structure corporate tax 47,detail corporate tax 47
SSKM000100047,001,3,30,structure corporate tax 48,detail corporate tax 48
SSKM000100048,001,2,20,structure corporate tax 49,detail corporate tax 49
SSKM000100049,001,1,17,structure corporate tax 50,detail corporate tax 50
SSKM000100050,001,99,16,structure corporate tax 51,detail corporate tax 51
SSKM000100051,001,6,15,structure corporate tax 52,detail corporate tax 52
SSKM000100052,001,5,14,structure corporate tax 53,detail corporate tax 53
SSKM000100053,001,4,13,structure corporate tax 54,detail corporate tax 54
SSKM000100054,001,3,12,structure corporate tax 55,detail corporate tax 55
SSKM000100055,001,2,11,structure corporate tax 56,detail corporate tax 56
SSKM000100056,001,1,10,structure corporate tax 57,detail corporate tax 57
SSKM000100057,001,99,99,structure corporate tax 58,detail corporate tax 58
SSKM000100058,001,6,60,structure corporate tax 59,detail corporate tax 59
SSKM000100059,001,5,50,structure corporate tax 60,detail corporate tax 60
SSKM000100060,001,4,40,structure corporate tax 61,detail corporate tax 61
SSKM000100061,001,3,30,structure corporate tax 62,detail corporate tax 62
SSKM000100062,001,2,20,structure corporate tax 63,detail corporate tax 63
SSKM000100063,001,1,17,structure corporate tax 64,detail corporate tax 64
SSKM000100064,001,99,16,structure corporate tax 65,detail corporate tax 65
SSKM000100065,001,6,15,structure corporate tax 66,detail corporate tax 66
SSKM000100066,001,5,14,structure corporate tax 67,detail corporate tax 67
SSKM000100067,001,4,13,structure corporate tax 68,detail corporate tax 68
SSKM000100068,001,3,12,structure corporate tax 69,detail corporate tax 69
SSKM000100069,001,2,11,structure corporate tax 70,detail corporate tax 70
SSKM000100070,001,1,10,structure corporate tax 71,detail corporate tax 71
SSKM000100071,001,99,99,structure corporate tax 72,detail corporate tax 72
SSKM000100072,001,6,60,structure corporate tax 73,detail corporate tax 73
SSKM000100073,001,5,50,structure corporate tax 74,detail corporate tax 74
SSKM000100074,001,4,40,structure corporate tax 75,detail corporate tax 75
SSKM000100075,001,3,30,structure corporate tax 76,detail corporate tax 76
SSKM000100076,001,2,20,structure corporate tax 77,detail corporate tax 77
SSKM000100077,001,1,17,structure corporate tax 78,detail corporate tax 78
SSKM000100078,001,99,16,structure corporate tax 79,detail corporate tax 79
SSKM000100079,001,6,15,structure corporate tax 80,detail corporate tax 80
SSKM000100080,001,5,14,structure corporate tax 81,detail corporate tax 81
SSKM000100081,001,4,13,structure corporate tax 82,detail corporate tax 82
SSKM000100082,001,3,12,structure corporate tax 83,detail corporate tax 83
SSKM000100083,001,2,11,structure corporate tax 84,detail corporate tax 84
SSKM000100084,001,1,10,structure corporate tax 85,detail corporate tax 85
SSKM000100085,001,99,99,structure corporate tax 86,detail corporate tax 86
SSKM000100086,001,6,60,structure corporate tax 87,detail corporate tax 87
SSKM000100087,001,5,50,structure corporate tax 88,detail corporate tax 88
SSKM000100088,001,4,40,structure corporate tax 89,detail corporate tax 89
SSKM000100089,001,3,30,structure corporate tax 90,detail corporate tax 90
SSKM000100090,001,2,20,structure corporate tax 91,detail corporate tax 91
SSKM000100091,001,1,17,structure corporate tax 92,detail corporate tax 92
SSKM000100092,001,99,16,structure corporate tax 93,detail corporate tax 93
SSKM000100093,001,6,15,structure corporate tax 94,detail corporate tax 94
SSKM000100094,001,5,14,structure corporate tax 95,detail corporate tax 95
SSKM000100095,001,4,13,structure corporate tax 96,detail corporate tax 96
SSKM000100096,001,3,12,structure corporate tax 97,detail corporate tax 97
SSKM000100097,001,2,11,structure corporate tax 98,detail corporate tax 98
SSKM000100098,001,1,10,structure corporate tax 99,detail corporate tax 99
SSKM000100099,001,99,99,structure corporate tax 100,detail corporate tax 100
SSKM000100100,001,6,60,structure corporate tax 101,detail corporate tax 101
SSKM000100101,001,5,50,structure corporate tax 102,detail corporate tax 102
SSKM000100102,001,4,40,structure corporate tax 103,detail corporate tax 103
SSKM000100103,001,3,30,structure corporate tax 104,detail corporate tax 104
SSKM000100104,001,2,20,structure corporate tax 105,detail corporate tax 105
SSKM000100105,001,1,17,structure corporate tax 106,detail corporate tax 106
SSKM000100106,001,99,16,structure corporate tax 107,detail corporate tax 107
SSKM000100107,001,6,15,structure corporate tax 108,detail corporate tax 108
SSKM000100108,001,5,14,structure corporate tax 109,detail corporate tax 109
SSKM000100109,001,4,13,structure corporate tax 110,detail corporate tax 110
SSKM000100110,001,3,12,structure corporate tax 111,detail corporate tax 111
SSKM000100111,001,2,11,structure corporate tax 112,detail corporate tax 112
SSKM000100112,001,1,10,structure corporate tax 113,detail corporate tax 113
SSKM000100113,001,99,99,structure corporate tax 114,detail corporate tax 114
SSKM000100114,001,6,60,structure corporate tax 115,detail corporate tax 115
SSKM000100115,001,5,50,structure corporate tax 116,detail corporate tax 116
SSKM000100116,001,4,40,structure corporate tax 117,detail corporate tax 117
SSKM000100117,001,3,30,structure corporate tax 118,detail corporate tax 118
SSKM000100118,001,2,20,structure corporate tax 119,detail corporate tax 119
SSKM000100119,001,1,17,structure corporate tax 120,detail corporate tax 120
SSKM000100120,001,99,16,structure corporate tax 121,detail corporate tax 121
SSKM000100121,001,6,15,structure corporate tax 122,detail corporate tax 122
SSKM000100122,001,5,14,structure corporate tax 123,detail corporate tax 123
SSKM000100123,001,4,13,structure corporate tax 124,detail corporate tax 124
SSKM000100124,001,3,12,structure corporate tax 125,detail corporate tax 125
SSKM000100125,001,2,11,structure corporate tax 126,detail corporate tax 126
SSKM000100126,001,1,10,structure corporate tax 127,detail corporate tax 127
SSKM000100127,001,99,99,structure corporate tax 128,detail corporate tax 128
SSKM000100128,001,6,60,structure corporate tax 129,detail corporate tax 129
SSKM000100129,001,5,50,structure corporate tax 130,detail corporate tax 130
SSKM000100130,001,4,40,structure corporate tax 131,detail corporate tax 131
SSKM000100131,001,3,30,structure corporate tax 132,detail corporate tax 132
SSKM000100132,001,2,20,structure corporate tax 133,detail corporate tax 133
SSKM000100133,001,1,17,structure corporate tax 134,detail corporate tax 134
SSKM000100134,001,99,16,structure corporate tax 135,detail corporate tax 135
SSKM000100135,001,6,15,structure corporate tax 136,detail corporate tax 136
SSKM000100136,001,5,14,structure corporate tax 137,detail corporate tax 137
SSKM000100137,001,4,13,structure corporate tax 138,detail corporate tax 138
SSKM000100138,001,3,12,structure corporate tax 139,detail corporate tax 139
SSKM000100139,001,2,11,structure corporate tax 140,detail corporate tax 140
SSKM000100140,001,1,10,structure corporate tax 141,detail corporate tax 141
SSKM000100141,001,99,99,structure corporate tax 142,detail corporate tax 142
SSKM000100142,001,6,60,structure corporate tax 143,detail corporate tax 143
SSKM000100143,001,5,50,structure corporate tax 144,detail corporate tax 144
SSKM000100144,001,4,40,structure corporate tax 145,detail corporate tax 145
SSKM000100145,001,3,30,structure corporate tax 146,detail corporate tax 146
SSKM000100146,001,2,20,structure corporate tax 147,detail corporate tax 147
SSKM000100147,001,1,17,structure corporate tax 148,detail corporate tax 148
SSKM000100148,001,99,16,structure corporate tax 149,detail corporate tax 149
SSKM000100149,001,6,15,structure corporate tax 150,detail corporate tax 150
SSKM000100150,001,5,14,structure corporate tax 151,detail corporate tax 151
SSKM000100151,001,4,13,structure corporate tax 152,detail corporate tax 152
SSKM000100152,001,3,12,structure corporate tax 153,detail corporate tax 153
SSKM000100153,001,2,11,structure corporate tax 154,detail corporate tax 154
SSKM000100154,001,1,10,structure corporate tax 155,detail corporate tax 155
SSKM000100155,001,99,99,structure corporate tax 156,detail corporate tax 156
SSKM000100156,001,6,60,structure corporate tax 157,detail corporate tax 157
SSKM000100157,001,5,50,structure corporate tax 158,detail corporate tax 158
SSKM000100158,001,4,40,structure corporate tax 159,detail corporate tax 159
SSKM000100159,001,3,30,structure corporate tax 160,detail corporate tax 160
SSKM000100160,001,2,20,structure corporate tax 161,detail corporate tax 161
SSKM000100161,001,1,17,structure corporate tax 162,detail corporate tax 162
SSKM000100162,001,99,16,structure corporate tax 163,detail corporate tax 163
