資産コード,枝番,移動日,事由コード,事由,部門コード（移動後）,設置場所コード（移動後）,参照リンク
SSKM000100001,001,2023/06/04,3002,移転のため,BM0002,STBS0002,https://test.movement.vn
SSKM000100002,001,2023/06/04,3002,移転のため,BM0002,STBS0002,https://test.movement.vn
SSKM000100003,001,2023/06/04,3002,移転のため,BM0002,STBS0002,https://test.movement.vn
SSKM000100004,001,2023/06/04,3002,移転のため,BM0002,STBS0002,https://test.movement.vn
SSKM000100005,001,2023/06/04,3002,移転のため,BM0002,STBS0002,https://test.movement.vn
SSKM000100006,001,2023/06/04,3002,移転のため,BM0002,STBS0002,https://test.movement.vn
SSKM000100007,001,2023/06/04,3002,移転のため,BM0002,STBS0002,https://test.movement.vn
SSKM000100008,001,2023/06/04,3002,移転のため,BM0002,STBS0002,https://test.movement.vn
SSKM000100009,001,2023/06/04,3002,移転のため,BM0002,STBS0002,https://test.movement.vn
SSKM000100010,001,2023/06/04,3002,移転のため,BM0002,STBS0002,https://test.movement.vn
SSKM000100011,001,2023/06/04,3002,移転のため,BM0002,STBS0002,https://test.movement.vn
SSKM000100012,001,2023/06/04,3002,移転のため,BM0002,STBS0002,https://test.movement.vn
SSKM000100013,001,2023/06/04,3002,移転のため,BM0002,STBS0002,https://test.movement.vn
SSKM000100014,001,2023/06/04,3002,移転のため,BM0002,STBS0002,https://test.movement.vn
SSKM000100015,001,2023/06/04,3002,移転のため,BM0002,STBS0002,https://test.movement.vn
SSKM000100016,001,2023/06/04,3002,移転のため,BM0002,STBS0002,https://test.movement.vn
SSKM000100017,001,2023/06/04,3002,移転のため,BM0002,STBS0002,https://test.movement.vn
SSKM000100018,001,2023/06/04,3002,移転のため,BM0002,STBS0002,https://test.movement.vn
SSKM000100019,001,2023/06/04,3002,移転のため,BM0002,STBS0002,https://test.movement.vn
SSKM000100020,001,2023/06/04,3002,移転のため,BM0002,STBS0002,https://test.movement.vn
